cd_conexao	cd_ambiente	cd_aplicacao	cd_cenario	username	ds_conexao
GA_CERT_ATLAS.NET	CERT	ATLAS		CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=HHATL01)))
GA_CERT_CBM.NET	CERT	CBM		CONSULTA_DICIONARIO	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.28.74)(PORT=1521))(CONNECT_DATA=(SID=BCMCER01)))
GA_CERT_CPI.NET	CERT	CPI		CONSULTA_DICIONARIO	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1522))(CONNECT_DATA=(SID=HHCPI01)))
GA_CERT_FEPP.NET	CERT	FEPP		CONSULTA_DICIONARIO	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.45)(PORT=1522))(CONNECT_DATA=(SID=HSATP01)))
GA_CERT_NETSMS_ABC.NET	CERT	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=hhbrin1)))
GA_CERT_NETSMS_BH.NET	CERT	NETSMS	BH	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.64.165)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=hhbhn1)))
GA_CERT_NETSMS_BRA.NET	CERT	NETSMS	BRA	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=hhdb09n1)))
GA_CERT_NETSMS_CTV.NET	CERT	NETSMS	CTV	CORE	(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=5.16.8.162)(PORT=1525)))(CONNECT_DATA=(SERVICE_NAME=HHCTV01)))
GA_CERT_NETSMS_ISP.NET	CERT	NETSMS	ISP	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.25)(PORT=1521))(CONNECT_DATA=(SID=hhispn1)))
GA_CERT_NETSMS_SAO.NET	CERT	NETSMS	SAO	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=hhspon1)))
GA_CERT_NETSMS_SOC.NET	CERT	NETSMS	SOC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=hhsocn1)))
GA_CERT_NETSMS_SUL.NET	CERT	NETSMS	SUL	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=hhsuln1)))
GA_CERT_SMP.NET	CERT	SMP		CONSULTA_DICIONARIO	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=SMPALPHA)))
GA_CERT_WA.NET	CERT	WA		CONSULTA_DICIONARIO	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=5.17.8.208)(PORT=1523))(CONNECT_DATA=(SID=WAFAB)))
GA_DEV1_NETSMS_ABC.NET	DEV1	NETSMS	ABC	CORE	(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=10.28.20.78)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=DBRIHP)))
